date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:29	483/483	---MCZ	200	added ('OK')	text/plain	etag:cacheable:7b0bc9f8fc319ae67c26deb0d91cb410	https://www.nonzerogravity.com/robots.txt		(from )
14:43:29	246799/246799	---MCZ	200	added ('OK')	text/html	etag:cacheable:348386a5fd31338c567aac93e567931a	https://www.nonzerogravity.com/	C:/My%20Web%20Sites/.nonzerogravity/www.nonzerogravity.com/index.html	(from )
14:43:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20May%202022%2014:43:29%20GMT	http://cdn.shopify.com/s/files/1/0089/4379/6281/files/NZG-Favicon-2020-red_32x32.png?v=1600987483	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/s/files/1/0089/4379/6281/files/NZG-Favicon-2020-red_32x32.0f514.delayed	(from https://www.nonzerogravity.com/)
14:43:30	1403/1403	---M--	200	added ('OK')	image/png	date:Tue,%2010%20May%202022%2011:21:21%20GMT	https://cdn.shopify.com/s/files/1/0089/4379/6281/files/NZG-Favicon-2020-red_32x32.png?v=1600987483	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/s/files/1/0089/4379/6281/files/NZG-Favicon-2020-red_32x32f514.png	(from https://www.nonzerogravity.com/)
14:43:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20May%202022%2014:43:30%20GMT	http://cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/theme.css?v=37157887618728030291650390688	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/theme194a.css	(from https://www.nonzerogravity.com/)
14:43:30	213715/213715	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20May%202022%2010:18:38%20GMT	https://cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/theme.css?v=37157887618728030291650390688	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/theme194a.css	(from https://www.nonzerogravity.com/)
14:43:30	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2014:06:52%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://www.nonzerogravity.com/)
14:43:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20May%202022%2014:43:30%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	(from https://www.nonzerogravity.com/)
14:43:32	9921/9921	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2011%20May%202022%2023:18:02%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	(from https://www.nonzerogravity.com/)
14:43:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20May%202022%2014:43:32%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-b61f50798075db890698930c4405673937fe89353f7fea7be88b5ce16a9c0af8.js?v=20210208	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-b61f50798075db890698930c4405673937fe89353f7fea7be88b5ce16a9c0af87f17.js	(from https://www.nonzerogravity.com/)
14:43:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20May%202022%2014:43:32%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://www.nonzerogravity.com/)
14:43:32	49739/49739	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2000:15:51%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-b61f50798075db890698930c4405673937fe89353f7fea7be88b5ce16a9c0af8.js?v=20210208	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-b61f50798075db890698930c4405673937fe89353f7fea7be88b5ce16a9c0af87f17.js	(from https://www.nonzerogravity.com/)
14:43:32	37632/37632	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2001:45:15%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://www.nonzerogravity.com/)
14:43:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20May%202022%2014:43:32%20GMT	http://cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/vendor-scripts-v7.js	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/vendor-scripts-v7.js	(from https://www.nonzerogravity.com/)
14:43:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20May%202022%2014:43:33%20GMT	http://cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/currency-flags.css	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/currency-flags.css	(from https://www.nonzerogravity.com/)
14:43:34	290775/290775	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2011%20May%202022%2022:03:29%20GMT	https://cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/vendor-scripts-v7.js	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/vendor-scripts-v7.js	(from https://www.nonzerogravity.com/)
14:43:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20May%202022%2014:43:34%20GMT	http://cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/theme.js?v=9435249751767744711650390672	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/theme64ab.js	(from https://www.nonzerogravity.com/)
14:43:37	119262/119262	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20May%202022%2010:18:38%20GMT	https://cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/currency-flags.css	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/currency-flags.css	(from https://www.nonzerogravity.com/)
14:43:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20May%202022%2014:43:37%20GMT	http://cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/sca_affiliate.js?v=104779757550391720601650390671	C:/My%20Web%20Sites/.nonzerogravity/cdn.shopify.com/s/files/1/0089/4379/6281/t/84/assets/sca_affiliate567b.js	(from https://www.nonzerogravity.com/)
